,GP550R
RamanShit,Intensity,
2955.51,226.42,
2957.11,188.58,
2958.71,171.60,
2960.32,171.25,
2961.92,173.82,
2963.52,187.13,
2965.12,201.08,
2966.72,201.38,
2968.32,200.40,
2969.92,210.73,
2971.51,217.72,
2973.11,207.35,
2974.70,185.91,
2976.30,170.52,
2977.89,161.01,
2979.48,154.16,
2981.08,167.94,
2982.67,190.81,
2984.26,205.95,
2985.85,204.33,
2987.44,193.93,
2989.02,198.88,
2990.61,211.19,
2992.20,208.52,
2993.78,188.69,
2995.37,171.28,
2996.95,185.62,
2998.53,200.72,
3000.12,189.91,
3001.70,169.02,
3003.28,156.73,
3004.86,162.67,
3006.44,176.60,
3008.02,184.27,
3009.59,180.00,
3011.17,167.34,
3012.75,170.26,
3014.32,186.88,
3015.90,192.89,
3017.47,177.00,
3019.04,166.22,
3020.62,170.44,
3022.19,177.06,
3023.76,185.13,
3025.33,197.65,
3026.90,206.25,
3028.46,187.10,
3030.03,156.62,
3031.60,152.81,
3033.16,169.87,
3034.73,185.98,
3036.29,195.19,
3037.86,200.13,
3039.42,202.74,
3040.98,192.31,
3042.54,184.84,
3044.10,187.11,
3045.66,197.09,
3047.22,200.59,
3048.78,204.97,
3050.34,207.90,
3051.89,197.69,
3053.45,191.39,
3055.01,210.66,
3056.56,243.74,
3058.11,252.28,
3059.67,228.56,
3061.22,214.78,
3062.77,222.40,
3064.32,231.51,
3065.87,223.22,
3067.42,196.77,
3068.96,187.90,
3070.51,202.65,
3072.06,229.80,
3073.60,242.94,
3075.15,236.44,
3076.69,212.35,
3078.24,187.96,
3079.78,182.11,
3081.32,186.29,
3082.86,191.11,
3084.40,212.81,
3085.94,239.76,
3087.48,238.80,
3089.02,196.09,
3090.56,161.03,
3092.09,148.22,
3093.63,152.47,
3095.16,183.41,
3096.70,224.27,
3098.23,231.10,
3099.76,210.66,
3101.29,231.31,
3102.83,290.22,
3104.36,294.99,
3105.89,223.87,
3107.42,154.79,
3108.94,163.65,
3110.47,212.79,
3112.00,243.67,
3113.52,251.72,
3115.05,251.72,
3116.57,252.96,
3118.10,245.12,
3119.62,239.32,
3121.14,248.05,
3122.66,247.87,
3124.18,248.38,
3125.70,261.29,
3127.22,279.98,
3128.74,274.93,
3130.26,245.42,
3131.78,233.11,
3133.29,239.10,
3134.81,234.88,
3136.32,231.23,
3137.84,247.22,
3139.35,267.75,
3140.86,269.24,
3142.37,262.98,
3143.88,270.23,
3145.39,274.81,
3146.90,256.79,
3148.41,243.42,
3149.92,262.78,
3151.43,281.16,
3152.93,257.09,
3154.44,200.40,
3155.94,191.33,
3157.45,237.42,
3158.95,267.70,
3160.46,258.54,
3161.96,254.79,
3163.46,292.04,
3164.96,328.41,
3166.46,304.22,
3167.96,237.31,
3169.46,180.95,
3170.95,195.90,
3172.45,261.97,
