,GP550R
RamanShit,Intensity,
2366.67,451.32,
2368.58,438.57,
2370.49,396.98,
2372.40,358.53,
2374.31,344.09,
2376.22,341.06,
2378.13,330.18,
2380.03,333.09,
2381.94,356.99,
2383.84,349.75,
2385.74,301.98,
2387.64,272.02,
2389.55,289.19,
2391.45,300.26,
2393.34,269.28,
2395.24,232.70,
2397.14,235.14,
2399.03,265.26,
2400.93,301.43,
2402.82,310.04,
2404.71,286.41,
2406.61,267.47,
2408.50,281.30,
2410.39,301.63,
2412.27,294.13,
2414.16,264.54,
2416.05,251.95,
2417.93,252.07,
2419.82,268.09,
2421.70,281.81,
2423.58,266.27,
2425.47,232.69,
2427.35,219.14,
2429.23,250.59,
2431.10,283.63,
2432.98,268.15,
2434.86,241.73,
2436.74,255.10,
2438.61,295.22,
2440.48,296.11,
2442.35,257.34,
2444.23,250.05,
2446.10,279.94,
2447.97,290.34,
2449.83,268.23,
2451.70,250.00,
2453.57,246.04,
2455.43,236.10,
2457.30,234.48,
2459.16,266.07,
2461.02,302.89,
2462.89,311.16,
2464.75,291.46,
2466.61,271.88,
2468.46,277.54,
2470.32,281.67,
2472.18,257.46,
2474.03,229.06,
2475.89,231.83,
2477.74,270.93,
2479.59,303.03,
2481.45,315.48,
2483.30,310.80,
2485.15,273.16,
2487.00,229.25,
2488.84,216.10,
2490.69,229.73,
2492.54,253.42,
2494.38,267.78,
2496.22,273.30,
2498.07,264.10,
2499.91,259.00,
2501.75,289.28,
2503.59,331.94,
2505.43,318.69,
2507.27,239.59,
2509.10,171.34,
2510.94,195.57,
2512.77,261.51,
2514.61,280.21,
2516.44,251.85,
2518.27,244.65,
2520.10,274.10,
2521.93,304.01,
2523.76,307.61,
2525.59,303.68,
2527.42,299.97,
2529.24,296.09,
2531.07,288.27,
2532.89,294.22,
2534.72,322.44,
2536.54,347.38,
2538.36,330.68,
2540.18,288.58,
2542.00,271.53,
2543.82,293.88,
2545.64,318.00,
2547.45,313.79,
2549.27,306.71,
2551.08,323.13,
2552.90,340.56,
2554.71,337.21,
2556.52,322.88,
2558.33,320.67,
2560.14,325.11,
2561.95,307.43,
2563.76,278.48,
2565.57,285.46,
2567.37,332.27,
2569.18,356.77,
2570.98,329.00,
2572.79,304.95,
2574.59,320.01,
2576.39,339.89,
2578.19,343.06,
2579.99,354.89,
2581.79,366.76,
2583.58,357.78,
2585.38,341.40,
2587.18,339.89,
2588.97,343.86,
2590.76,335.30,
2592.56,322.52,
2594.35,315.46,
2596.14,308.00,
2597.93,309.83,
2599.72,323.39,
2601.51,347.14,
2603.29,375.61,
2605.08,382.45,
2606.86,355.47,
2608.65,323.29,
2610.43,331.97,
2612.21,379.09,
2614.00,396.38,
2615.78,366.72,
2617.56,327.22,
2619.33,315.50,
2621.11,344.15,
2622.89,377.46,
2624.67,382.70,
2626.44,362.80,
2628.21,347.33,
2629.99,358.28,
2631.76,363.36,
2633.53,357.24,
2635.30,355.69,
2637.07,365.45,
2638.84,377.38,
2640.61,370.30,
2642.37,355.33,
2644.14,350.02,
2645.90,351.97,
2647.67,360.76,
2649.43,380.45,
2651.19,405.60,
2652.95,400.42,
2654.71,365.13,
2656.47,340.40,
2658.23,341.46,
2659.99,341.06,
2661.74,333.98,
2663.50,340.01,
2665.25,354.23,
2667.01,362.22,
2668.76,370.10,
2670.51,377.09,
2672.26,383.91,
2674.01,389.84,
2675.76,401.75,
2677.51,408.85,
2679.26,402.98,
2681.00,391.08,
2682.75,382.84,
2684.49,383.26,
2686.24,400.13,
2687.98,422.11,
2689.72,426.35,
2691.46,412.83,
2693.20,394.66,
2694.94,370.77,
2696.68,346.02,
2698.42,344.85,
2700.15,374.42,
2701.89,396.99,
2703.62,382.80,
2705.35,364.24,
2707.09,376.43,
2708.82,409.85,
2710.55,426.74,
2712.28,409.48,
2714.01,382.39,
2715.74,363.91,
2717.46,349.57,
2719.19,345.13,
2720.92,367.48,
2722.64,404.20,
2724.36,417.59,
2726.09,404.13,
2727.81,396.11,
2729.53,399.87,
2731.25,401.75,
2732.97,395.78,
2734.69,386.22,
2736.41,378.98,
2738.12,383.87,
2739.84,409.05,
2741.55,438.81,
2743.26,437.61,
2744.98,392.95,
2746.69,351.00,
2748.40,356.20,
2750.11,387.97,
2751.82,401.91,
2753.53,408.12,
2755.24,426.48,
2756.94,438.87,
2758.65,431.14,
2760.36,422.27,
2762.06,412.49,
2763.76,402.46,
2765.46,406.02,
2767.17,423.86,
2768.87,426.06,
2770.57,415.55,
2772.27,428.52,
2773.96,463.60,
2775.66,481.84,
2777.36,463.62,
2779.05,426.35,
2780.75,409.05,
2782.44,424.07,
2784.13,441.04,
2785.82,430.58,
2787.51,422.66,
2789.21,460.42,
2790.89,508.85,
2792.58,511.17,
2794.27,462.09,
2795.96,408.70,
2797.64,389.46,
2799.33,407.43,
2801.01,442.84,
2802.69,460.45,
2804.38,463.38,
2806.06,475.35,
2807.74,484.01,
2809.42,477.05,
2811.10,467.04,
2812.77,461.00,
2814.45,443.09,
2816.13,407.46,
2817.80,401.04,
2819.48,428.81,
2821.15,453.40,
2822.82,450.84,
2824.50,444.13,
2826.17,450.26,
2827.83,457.56,
2829.50,455.07,
2831.17,458.20,
2832.84,457.88,
2834.51,448.58,
2836.17,439.96,
2837.84,431.83,
2839.50,414.02,
2841.17,422.57,
2842.83,488.66,
2844.49,558.09,
2846.15,552.85,
2847.81,516.69,
2849.47,522.72,
2851.13,548.33,
2852.78,549.02,
2854.44,528.53,
2856.10,515.73,
2857.75,508.23,
2859.40,496.46,
2861.06,494.85,
2862.71,507.50,
2864.36,529.00,
2866.01,537.78,
2867.66,508.78,
2869.31,478.66,
2870.96,481.40,
2872.61,509.79,
2874.25,530.19,
2875.90,530.09,
2877.54,520.47,
2879.19,500.10,
2880.83,469.09,
2882.47,453.58,
2884.11,469.10,
2885.75,508.79,
2887.39,541.07,
2889.03,556.82,
2890.67,561.58,
2892.31,541.17,
2893.94,498.40,
2895.58,468.15,
